VARIABLES = "X", "Y", "Ux", "Uy", "Cp" 
ZONE I=12, J=41, F=POINT
0.550000 0.263281 1.028604 -0.004391 -0.058046
0.550000 0.385352 1.019819 -0.002889 -0.040039
0.550000 0.537939 1.012971 -0.001740 -0.026113
0.550000 0.728674 1.008054 -0.000973 -0.016173
0.550000 0.967093 1.004733 -0.000517 -0.009488
0.550000 1.265116 1.002561 -0.000272 -0.005128
0.550000 1.637645 1.001116 -0.000154 -0.002234
0.550000 2.103306 1.000000 0.000000 0.000000
0.600000 -0.025000 1.058784 -0.021525 -0.121487
0.600000 0.025000 1.058784 -0.018475 -0.121365
0.600000 0.087500 1.048096 -0.015453 -0.098743
0.600000 0.165625 1.037383 -0.012068 -0.076308
0.600000 0.263281 1.027471 -0.008671 -0.055772
0.600000 0.385352 1.019076 -0.005692 -0.038548
0.600000 0.537939 1.012551 -0.003427 -0.025271
0.600000 0.728674 1.007846 -0.001920 -0.015756
0.600000 0.967093 1.004639 -0.001024 -0.009301
0.600000 1.265116 1.002523 -0.000539 -0.005052
0.600000 1.637645 1.001103 -0.000306 -0.002207
0.600000 2.103306 1.000000 0.000000 0.000000
0.650000 -0.025000 1.055677 -0.032359 -0.115502
0.650000 0.025000 1.055677 -0.027641 -0.115219
0.650000 0.087500 1.045169 -0.022983 -0.092905
0.650000 0.165625 1.034880 -0.017821 -0.071294
0.650000 0.263281 1.025593 -0.012723 -0.052003
0.650000 0.385352 1.017859 -0.008321 -0.036106
0.650000 0.537939 1.011868 -0.005011 -0.023902
0.650000 0.728674 1.007506 -0.002816 -0.015077
0.650000 0.967093 1.004487 -0.001510 -0.008996
0.650000 1.265116 1.002460 -0.000799 -0.004926
0.650000 1.637645 1.001081 -0.000454 -0.002164
0.650000 2.103306 1.000000 0.000000 0.000000
0.700000 -0.025000 1.051155 -0.043294 -0.106801
0.700000 0.025000 1.051155 -0.036706 -0.106274
0.700000 0.087500 1.040945 -0.030243 -0.084482
0.700000 0.165625 1.031336 -0.023204 -0.064193
0.700000 0.263281 1.022993 -0.016418 -0.046784
0.700000 0.385352 1.016204 -0.010689 -0.032785
0.700000 0.537939 1.010946 -0.006442 -0.022053
0.700000 0.728674 1.007049 -0.003639 -0.014160
0.700000 0.967093 1.004280 -0.001965 -0.008582
0.700000 1.265116 1.002374 -0.001047 -0.004754
0.700000 1.637645 1.001051 -0.000599 -0.002104
0.700000 2.103306 1.000000 0.000000 0.000000
0.750000 -0.025000 1.045003 -0.054395 -0.094991
0.750000 0.025000 1.045003 -0.045605 -0.094112
0.750000 0.087500 1.035287 -0.037076 -0.073195
0.750000 0.165625 1.026724 -0.028034 -0.054949
0.750000 0.263281 1.019714 -0.019610 -0.040201
0.750000 0.385352 1.014164 -0.012708 -0.028689
0.750000 0.537939 1.009820 -0.007677 -0.019795
0.750000 0.728674 1.006488 -0.004370 -0.013037
0.750000 0.967093 1.004024 -0.002381 -0.008070
0.750000 1.265116 1.002267 -0.001281 -0.004540
0.750000 1.637645 1.001013 -0.000738 -0.002028
0.750000 2.103306 1.000000 0.000000 0.000000
0.800000 -0.025000 1.036872 -0.065769 -0.079429
0.800000 0.025000 1.036872 -0.054231 -0.078044
0.800000 0.087500 1.027999 -0.043241 -0.058652
0.800000 0.165625 1.021037 -0.032064 -0.043544
0.800000 0.263281 1.015836 -0.022134 -0.032414
0.800000 0.385352 1.011814 -0.014292 -0.023971
0.800000 0.537939 1.008533 -0.008678 -0.017215
0.800000 0.728674 1.005844 -0.004990 -0.011747
0.800000 0.967093 1.003727 -0.002752 -0.007475
0.800000 1.265116 1.002140 -0.001496 -0.004288
0.800000 1.637645 1.000968 -0.000869 -0.001938
0.800000 2.103306 1.000000 0.000000 0.000000
0.850000 -0.025000 1.026161 -0.077619 -0.059031
0.850000 0.025000 1.026161 -0.062381 -0.056898
0.850000 0.087500 1.018833 -0.048337 -0.040356
0.850000 0.165625 1.014329 -0.034953 -0.030084
0.850000 0.263281 1.011497 -0.023807 -0.023693
0.850000 0.385352 1.009255 -0.015367 -0.018833
0.850000 0.537939 1.007139 -0.009416 -0.014418
0.850000 0.728674 1.005140 -0.005489 -0.010336
0.850000 0.967093 1.003397 -0.003071 -0.006814
0.850000 1.265116 1.001998 -0.001692 -0.004003
0.850000 1.637645 1.000917 -0.000993 -0.001836
0.850000 2.103306 1.000000 0.000000 0.000000
0.900000 -0.025000 1.011772 -0.090366 -0.031849
0.900000 0.025000 1.011772 -0.069634 -0.028532
0.900000 0.087500 1.007547 -0.051655 -0.017819
0.900000 0.165625 1.006806 -0.036237 -0.014971
0.900000 0.263281 1.006915 -0.024443 -0.014476
0.900000 0.385352 1.006615 -0.015878 -0.013527
0.900000 0.537939 1.005695 -0.009877 -0.011521
0.900000 0.728674 1.004398 -0.005862 -0.008850
0.900000 0.967093 1.003042 -0.003337 -0.006104
0.900000 1.265116 1.001843 -0.001866 -0.003692
0.900000 1.637645 1.000860 -0.001108 -0.001723
0.900000 2.103306 1.000000 0.000000 0.000000
0.950000 -0.025000 0.991500 -0.104974 0.005908
0.950000 0.025000 0.991500 -0.075026 0.011299
0.950000 0.087500 0.994194 -0.051868 0.008888
0.950000 0.165625 0.998981 -0.035313 0.000791
0.950000 0.263281 1.002415 -0.023894 -0.005407
0.950000 0.385352 1.004040 -0.015811 -0.008347
0.950000 0.537939 1.004263 -0.010062 -0.008646
0.950000 0.728674 1.003643 -0.006108 -0.007337
0.950000 0.967093 1.002672 -0.003548 -0.005363
0.950000 1.265116 1.001677 -0.002017 -0.003360
0.950000 1.637645 1.000799 -0.001213 -0.001600
0.950000 2.103306 1.000000 0.000000 0.000000
1.000000 -0.025000 0.955648 -0.123872 0.071392
1.000000 0.025000 0.955648 -0.076128 0.080941
1.000000 0.087500 0.978484 -0.046335 0.040422
1.000000 0.165625 0.991102 -0.031560 0.016720
1.000000 0.263281 0.997958 -0.022140 0.003591
1.000000 0.385352 1.001404 -0.015206 -0.003041
1.000000 0.537939 1.002735 -0.009992 -0.005577
1.000000 0.728674 1.002807 -0.006233 -0.005660
1.000000 0.967093 1.002247 -0.003704 -0.004514
1.000000 1.265116 1.001481 -0.002145 -0.002969
1.000000 1.637645 1.000725 -0.001308 -0.001452
1.000000 2.103306 1.000000 0.000000 0.000000
1.062500 -0.025000 0.951788 0.012190 0.093951
1.062500 0.025000 0.951788 -0.012190 0.093951
1.062500 0.087500 0.973203 -0.023505 0.052323
1.062500 0.165625 0.986393 -0.022850 0.026508
1.062500 0.263281 0.994406 -0.018619 0.010810
1.062500 0.385352 0.998965 -0.013854 0.001877
1.062500 0.537939 1.001188 -0.009602 -0.002470
1.062500 0.728674 1.001905 -0.006236 -0.003853
1.062500 0.967093 1.001768 -0.003826 -0.003554
